medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
CB0982F0F2EB83E7CB87459653E80555,F161F2E516BF27E7CBA744514592BE50,VTS,2013/01/13 4:41,CRD,7.5,0.5,0.5,1.6,0,10.1
22A55F8B1F56EDA1FEA4F567293A7BDF,FD717A920A5125D904090815FA489598,VTS,2013/01/13 4:29,CRD,18,0.5,0.5,3.7,0,22.7
C9C39A65C5E6528949FE04CF11B72E80,25963B9D8591824CD6D2A7CD26AD7D79,VTS,2013/01/13 4:34,CRD,12.5,0.5,0.5,3.25,0,16.75
067A8BAFFF8192253B29B0CAEC30CB4A,5D9A7EED30C925D54B5422BB9E018668,VTS,2013/01/13 4:43,CRD,4.5,0.5,0.5,1.25,0,6.75
7087C805A6D78913C75F5DD02571D4F4,3DC39ABC49DC0C2D4A97E6E0C03ECE3A,VTS,2013/01/13 4:19,CSH,25,0.5,0.5,0,0,26
75C7F961C2AB3EFE9F232A2E4555CDF6,A9DD60890B6E054542BCED93DE9CAE40,VTS,2013/01/13 4:35,CSH,8,0.5,0.5,0,0,9
ED3A87B7283F4755AAE15671D9D36B12,F738FC42202F37BDA91E642BF0372102,VTS,2013/01/13 4:37,CSH,6.5,0.5,0.5,0,0,7.5
24A79226E819C16546C3634C824EAEB8,45463936BB36B60963A6F942446AEB59,VTS,2013/01/13 4:37,CRD,11.5,0.5,0.5,2.4,0,14.9
746DF3B09DC6050DF68E527DA4E529CF,16D116871A4A614AC8552D03D4A2754C,VTS,2013/01/13 4:17,CSH,30,0.5,0.5,0,0,31
23E5F1FDC96168E865BF7B4427C0163B,E7D75D6D6F2DBD7D25578F02991193D9,VTS,2013/01/13 4:22,CSH,25,0.5,0.5,0,0,26
2236842A05A21454CC92A6BCCA9CEBB3,5B3DEE7241CFCAF57C26F7EE47320B23,VTS,2013/01/13 4:39,CRD,8.5,0.5,0.5,2.25,0,11.75
EE8A706C1D8EE8897A1FEB591B5E5884,529E7364F15A734DFB3F44376DC78267,VTS,2013/01/13 4:33,CSH,14,0.5,0.5,0,0,15
EC05D1578FBB29AAC62505CC1683C5E4,8FAD076F7BA2D0F5F1E32A9EB396ECC3,VTS,2013/01/13 4:14,CRD,24,0.5,0.5,4.9,0,29.9
6AF797A6A38F0E9C7BBC5CA381FCA41A,9852054CE356DFF2826164320C356D76,VTS,2013/01/13 4:14,CRD,26,0.5,0.5,3,0,30
5C96FE79A28D617F9933C387A65A3061,EB095C0610F96FA218EDC7B4AE77FDAB,VTS,2013/01/13 4:41,CSH,4.5,0.5,0.5,0,0,5.5
